text,complexity
Backup drive shows correct used space but all folders appear empty when browsed.,complex
Entire department lost access to shared folder this morning. No permissions change was made.,complex
User needs the microphone unmuted on a conference room device,simple
Clock on PC shows wrong time even after manual correction.,moderate
User needs their name updated in the email directory after a legal name change,simple
usb drive not showing,simple
User on a shared workstation sees another user's desktop background and pinned apps after login.,complex
Teams shows user as online to others but user sees themselves as offline.,complex
Desktop icons are slightly blurry on one monitor but sharp on the other.,simple
distributed system returning inconsistent responses race condition suspected,complex
"Mouse not working. Tried another port, still dead.",simple
Outlook shows unread count on folder but opening it shows no unread emails.,moderate
Specific Excel formula returns wrong result only when file is stored on the network share.,complex
600 subscribers dropped across BNG-SOUTH-01 and BNG-SOUTH-02. Downgrade to 21.4R2 attempted on BNG-SOUTH-01 — downgrade failed due to incompatible subscriber database schema between versions. BNG-SOUTH-01 stuck in inconsistent state. Vendor emergency patch requested,complex
User can receive Teams calls but cannot make outbound calls to external numbers,moderate
Colour profile resets on the monitor after every reboot.,simple
A service account used by an automation tool was included in a routine password expiry enforcement. The tool has no mechanism to prompt for a new password and fails silently. Three dependent workflows stopped producing output with no alerts raised.,complex
"After a router firmware rollback, wireless clients on the 5GHz band are getting IPs from the wrong DHCP scope. The 2.4GHz band is unaffected.",complex
User's cursor jumps around while typing on the laptop,moderate
Scroll wheel on mouse is jumpy.,simple
User's account shows as active in AD but they can't authenticate to any system,moderate
User's quick access in File Explorer shows folders from a former colleague's profile.,complex
BGP route reflector RR-CLUSTER-02 not reflecting prefixes from client RTR-LEAF-07 to other clients — only that one client's routes missing from other RR clients' tables. Checked cluster-id and route-reflector-client config on RR-CLUSTER-02. Adjacency to RTR-LEAF-07 is up and exchanging updates,moderate
Webcam LED stays on after app is closed.,simple
SD-WAN certificate infrastructure completely expired — root CA on vManage and all 131 edge device certificates expired simultaneously because auto-renewal job was disabled during a maintenance window 90 days ago and never re-enabled. Control plane dark on entire fabric. Manually renewed vManage cert. Edges rejecting connection — trust store on each edge requires manual update with no remote access mechanism,complex
PDF reader opens but all pages appear blank. Other PDFs fine.,moderate
User's laptop is connected to the dock but the ethernet through the dock isn't working,moderate
Three different applications crash at startup only on machines in one specific OU. Machines in other OUs with similar specs are fine. Logs show a missing DLL but the file exists on disk.,complex
A CRON job running on a Linux server executes on schedule but the output file timestamp never updates. The job itself has no errors in the log.,complex
Two factor authentication prompt appears twice per login on one device only.,complex
Battery percentage jumps from 60% to 20% instantly without warning.,moderate
random kernel crashes with no dump files hard to diagnose hardware or driver,complex
Script runs fine interactively but fails when scheduled with same user credentials.,complex
User wants their email signature updated with a new phone number,simple
okay so basically spanning tree just went nuts on VLAN 1 through 100 and took down like 900 users for 7 minutes. New switch added to stack without PortFast and somehow became root bridge. RSTP reconvergence took way longer than it should have. Investigating why rapid transition failed on uplinks,complex
Internal chat tool notifications are not appearing on the user's second monitor when it's set as the primary display,moderate
CDP and LLDP topology discovery broken on 160 switches across campus after Cisco Catalyst Center upgrade to 2.3.7.5 — GUI shows zero neighbors network-wide. CLI on every switch confirms cdp and lldp adjacencies active. Opened Cisco TAC case — bug CSCwd12345 confirmed affecting that version. Downgrade path to 2.3.5.3 requires full cluster wipe and rebuild estimated at 6 hours downtime,complex
login fails first time then works second try,moderate
Pointer trails setting keeps re-enabling itself.,simple
User's photo on ID card system updated but old photo still showing on door access panel.,complex
User needs a new folder created on the shared drive,simple
Remote desktop disconnects the moment a second monitor is enabled on the remote machine.,complex
NTP sync failing on my Linux workstation — chronyc tracking shows offset of 43 seconds and climbing. Server 10.0.1.20 listed as source but showing unreachable. Only my machine affected as far as I know,simple
License key accepted during install but app asks for it again on every launch.,complex
"Single user cannot send emails. Receiving works. No error shown when sending, but messages stay in Outbox.",moderate
"After moving to a new desk, user's second monitor is no longer detected.",simple
no sound from laptop speakers,simple
Laptop keyboard produces numbers when typing letters. No NumLock key present.,moderate
Slack notifications appear on lock screen but not when logged in.,moderate
100 users lost access to inter-VLAN services from 0100-0630. API script had off-by-one error in ACE sequence numbering. Correction deployed to 58 switches. Twelve switches rejected API calls due to candidate config lock held by previous failed transaction,complex
"After a group policy refresh, login scripts stopped executing for users at one site. Users at all other sites are unaffected. The script path is correct and accessible.",complex
"Two users, same role, same permissions, one can run reports the other can't.",complex
Ctrl+F search bar not appearing in browser.,simple
A cloud-based HR portal works on all browsers on office machines but fails to load the login page on remote machines going through the corporate proxy,moderate
Screen resolution correct but all text appears blurry on external monitor.,simple
User wants to know how to merge cells in Excel,simple
"A power outage caused a server to shut down uncleanly. After restart, most services came up but one keeps crashing within 30 seconds of starting. No errors appear before the crash.",complex
User wants caps lock disabled permanently,simple
speaker making noise,simple
User wants the default browser changed to Chrome,simple
Snipping tool captures black rectangle instead of screen content.,moderate
User's browser bookmarks disappeared after profile sync.,moderate
" no internet"" since Monday morning. Only my device on SSID CorpWireless affected. No troubleshooting attempted. Please investigate",simple
"After rejoining domain, software centre shows no available applications for this user.",moderate
SD-WAN policy on EDGE-BR-04 routing video traffic over MPLS instead of preferred DIA link. Application-aware routing policy in orchestrator looks correct for this site. Five meeting rooms affected. Edge rebooted — issue persisted after reconnection,moderate
"After migrating user to new machine, their shortcuts all work but one opens a blank window.",complex
Packet loss of 12 percent measured via mtr between ACCESS-SW-03 and DIST-SW-01 during morning peak only. Off-hours testing shows zero loss. QoS output queue drops climbing on the Gi uplink. Interface not saturated — below 60 percent utilization,moderate
MPLS circuit HQ-to-BRANCH-DENVER latency spiked from 8ms to 95ms beginning Saturday. Provider SLA ticket opened Sunday. PE-WEST-02 showing no interface errors or drops. QoS policy unchanged for 90 days. Provider investigation ongoing with no resolution yet,moderate
Screen flickers when scrolling in browser only.,moderate
"Specific shared folder accessible Monday to Thursday, permissions error on Fridays.",complex
F5 key stopped refreshing pages.,simple
ACL on the edge router seems to be blocking my RDP sessions to 10.20.30.45 — connection times out every attempt. Other protocols to same host work fine. P1 for remote support duties I perform daily,simple
Port forwarding rule for TCP 2222 to SSH jump host at 10.15.0.5 not working after someone changed the external IP on the router last Tuesday. Old forwarding rule likely references previous WAN IP. Please update rule,simple
Desktop wallpaper looks stretched on one monitor but not the other.,simple
ARP table on router RTR-INET-01 showing my machine's MAC incorrectly — it has an old MAC from my previous NIC. Causing intermittent drops for me. Nobody touched the router config. Just needs ARP entry cleared,simple
Port forwarding for TCP 3389 to my remote workstation at 10.40.0.80 stopped working after the edge router was rebooted for patching Friday night. External RDP connection just times out. Internal RDP to same IP works fine,simple
Mouse cursor disappears on second monitor only,simple
All printers disappeared from the machine after rejoining the domain.,moderate
Meeting room PC won't connect to the TV via HDMI. Cable is fine on other devices.,moderate
PPPoE client on router CPE-OFFICE-07 negotiating MTU of 1492 correctly but large packets from internal hosts not being fragmented — TCP MSS clamping not configured on dialer interface. Four users experiencing broken downloads and HTTPS page loading issues for large pages,moderate
User profile loads but desktop is completely empty. Taskbar present.,moderate
WiFi keeps disconnecting on my laptop every few minutes in the open office area. No troubleshooting done yet. Happens only to me. Can someone check the access point or my wireless adapter settings?,simple
data mismatch after integration between modules maybe transformation logic issue,complex
400 users hitting undersized secondary site. Confirmed primary apps healthy. Health monitor probe source IP blocked by new WAF rule deployed overnight. WAF rule removed — GTM recovery taking 18 minutes,complex
App opens but buttons are unresponsive. Worked yesterday.,moderate
DHCP snooping dropping legitimate offers from our secondary DHCP server 10.0.0.20 on SW-DIST-06 — server connected to port not configured as trusted. Six users on VLAN 80 getting no addresses. Added trusted flag to server port but change needs verification across stack,moderate
Laptop screen dims after 5 seconds regardless of power plan settings.,moderate
Webcam not recognized in any app.,simple
QoS policy deployed via Ansible to 75 WAN routers at 0300 is misclassifying all DSCP EF traffic as best-effort — voice and video completely broken company-wide. Playbook rollback ran but show policy-map still reflects wrong markings on 60 devices. Manual correction done on 10 routers with inconsistent results so far,complex
role based access failing in nested modules complicated hierarchy,complex
An on-premise application that uses LDAP authentication started failing for users in a specific OU after an AD schema update. Users outside that OU authenticate fine.,complex
security policy blocking some services randomly not consistent,complex
An internal API that returns employee data started returning records with fields in a different order than documented. Downstream systems parsing by position are breaking.,complex
A specific Excel macro runs fine on some machines but throws a runtime error on others. All machines have the same Office version. The macro accesses a shared network path.,complex
Monitor goes black for two seconds every 30 minutes then comes back on,moderate
User accidentally removed an app from the home screen on their work phone,simple
ARP spoofing attack confirmed on VLAN 400 — host at 10.40.0.77 claiming MAC address of gateway 10.40.0.1 via gratuitous ARPs. DAI configured but not blocking — DHCP snooping binding table missing entries for VLAN 400. 680 workstations potentially intercepted. Security team engaged but network-layer containment still failing,complex
Internet works but Windows says no internet access.,moderate
A network-attached storage device shows as connected but its shares can't be accessed from any machine,moderate
Both monitors go black for 2 seconds every hour. Exact interval.,complex
Load balancer pool member 10.70.0.15 on VIP 10.70.0.100 continuously failing health checks despite the application responding correctly to manual curl requests. Three users hitting that node getting errors. Suspect health check misconfiguration on the LB itself,moderate
800 users locked out of systems. Pointing to public NTP temporarily but propagation is slow,complex
Headset works in one app but not another.,simple
Sticky notes app lost all notes after update.,simple
SSL cert on https://monitoring.ops.internal is self-signed and browsers are blocking it — IT said it would be replaced two weeks ago. Only me raising this ticket but affects anyone using that URL. Please fix,simple
can't open zip files,simple
User needs a distribution list created for the new project team,simple
Phone won't pair with laptop.,simple
"After promoting a secondary domain controller to primary, user authentication works but audit logs stopped populating. The logging policy is enabled on the new primary and was working on the old one.",complex
Application works fine until a second user logs into the same shared PC.,complex
400 users experiencing suboptimal routing and intermittent drops. Tried adjusting confederation peer statements — sessions bounced but path selection still inconsistent,complex
Finance app crashes on launch for one user. Others on same team fine. Reinstall didn't fix it.,moderate
server latency high but cpu low maybe io bottleneck unclear,complex
QoS policy on my VoIP adapter seems broken — calls fine for the first minute then choppy and dropping words. Colleagues on same switch have perfect call quality. Nothing changed on my desk setup in weeks. Please investigate,simple
User's recent files list in Word shows files from a different user's profile.,complex
A nightly sync between the CRM and the data warehouse has been silently skipping records where the account name contains an ampersand. No error is logged and row counts match because deletions offset the skipped inserts.,complex
Antivirus keeps flagging a known-safe internal tool after every update.,moderate
Monitor brightness changes on its own throughout the day.,moderate
"HDMI to projector connection works on one laptop but not another, using the same cable",moderate
Laptop takes much longer to shut down than usual,moderate
"Screen brightness stuck at max, adjustment slider does nothing.",simple
"After enabling HTTPS on an internal web app, links within the app that use hardcoded HTTP URLs stopped working for users on networks that block HTTP. Users on other networks are unaffected.",complex
Same attachment opens fine on phone but corrupts on desktop every time.,complex
Wi-Fi adapter missing from Device Manager after update.,moderate
 seem correct. Five remote workers affected,moderate
Paste works in every app except the one the user needs it in most.,simple
User's phone calendar isn't syncing with Outlook after they got a new SIM card,moderate
User wants a shortcut to the shared drive placed on their desktop,simple
User reports that some emails are arriving 2 to 3 hours late. Not happening for all senders.,moderate
User's display is stuck at 60Hz and the option to change it is greyed out,moderate
"Exact same file opens in 2 seconds on old PC, 18 seconds on new one.",complex
file sync conflict creating duplicates,moderate
Right monitor is 1 pixel lower than left no matter how alignment is adjusted in settings.,simple
One user gets a blank white page on the intranet. All others load it fine.,moderate
"After a bulk licence reassignment, half the affected users lost access to one specific Office app. The licence portal shows it as assigned for all users.",complex
DNS suffix search list disappeared from my workstation after a reboot — fully qualified names resolve but short hostnames fail. Only affecting me. No GPO changes announced. P1 since I use short names for dozens of scripts,simple
Bluetooth headset connected but only left ear has audio.,simple
Application crashes only when a specific colleague is also logged in remotely to same server.,complex
Mouse acceleration feels off after driver update.,simple
speaker muted not unmuting,simple
User needs the lock screen timeout reduced to 5 minutes,simple
Can't rename files on desktop.,simple
distributed services giving inconsistent results timing sync issue,complex
Shared team inbox stopped showing new emails in Outlook but they appear fine in the web version,moderate
Password manager autofill stopped working on one specific internal site.,simple
files uploading very slow but download ok,moderate
Right monitor is detected as left and vice versa.,simple
NTP stratum 2 server NTP-02 orphaned after primary GPS source went offline for maintenance — four application servers drifted beyond 300 seconds. Kerberos starting to reject tickets on those servers specifically. Manually pointed NTP-02 to external pool as temporary fix,moderate
Second monitor flickers occasionally.,simple
PC restarts during Windows updates but updates never finish.,moderate
One attachment type downloads correctly but always opens with the wrong app.,simple
QoS Ansible deployment to 95 routers reclassified all EF-marked traffic to AF21 — voice calls and video completely broken network-wide since 0200. Rollback playbook executed successfully per Tower output but show class-map on 78 routers still reflects wrong markings. Attempted manual correction on 12 devices — only 7 took the change correctly,complex
Proxy settings disappeared from my browser after IT pushed a Windows update last night. Internet completely broken now. P1 for me since I cannot do my job without web access. Just need proxy restored,simple
Spanning tree reconvergence on VLAN 1-100 caused 6-minute outage on entire campus — 900 users affected. Root bridge election happened unexpectedly after SW-ACCESS-NEW-01 was added without PortFast config. RSTP should converge in seconds but did not. Investigating why rapid transition failed to occur on uplink ports,complex
User cannot see the ruler in Microsoft Word,simple
PC randomly enters airplane mode during use.,moderate
"After enabling disk encryption on a batch of new laptops, four machines take over 20 minutes to boot. The others boot normally. Hardware specs are identical across the batch.",complex
VPN disconnects whenever user opens a specific internal application.,complex
SSL certificate warning appearing on our internal ticketing system at https://helpdesk.corp.internal — Chrome showing NET::ERR_CERT_DATE_INVALID. Only affects me when using this specific browser. Certificate expired two days ago per the error details,simple
A conference room booking system shows a room as available but when users try to book it they get a conflict error. The room's calendar shows no existing booking.,moderate
Can't right-click on desktop.,simple
"Same user account, two machines — file associations differ between them despite same OS build.",complex
User needs their display language changed from Spanish to English,simple
Caps Lock indicator light doesn't match actual caps lock state.,simple
Random app installs appearing on PC overnight. User says they didn't install them.,complex
Font size in one app changes after every system restart.,moderate
cache clear solves issue but returns later,moderate
User can't right-click on their desktop,simple
Firewall is blocking my access to our vendor portal at portal.acme-supply.com. Other sites load fine. Nothing changed on my end. IT flagged it low priority but I need this for purchase orders today please,simple
"After switching the office to a new DHCP server, some printers stopped responding to print jobs despite showing as online. Assigning static IPs to affected printers resolved it for most but two remain unresponsive.",complex
Screen reader announces wrong element names on company intranet for one user only.,complex
software crash after login sometimes not always,moderate
PC fan runs loudly only when browser is open.,moderate
"Laptop charges fine but battery icon always shows plugged in, not charging.",simple
USB drive not recognized when plugged in,simple
Laptop keeps losing WiFi connection every hour or so in building D. Haven't tried anything yet. Just me having the issue. Can someone check AP-BLDG-D-07 or look at my wireless card drivers?,simple
VPN split tunneling policy changed two days ago — four engineers now unable to reach on-premises lab at 10.100.0.0/16 through VPN. Others on same group policy unaffected. Tried re-enrolling two clients so far with no improvement,moderate
Video call background blur works on one camera but not the other on same device.,moderate
Firewall is presenting a block page when I try to access our JIRA instance at jira.company.io — started this morning after IT pushed a content filter update. Colleagues on same floor unaffected. Please whitelist this,simple
data inconsistency between two systems after sync maybe timing or api issue,complex
A Python automation script that runs nightly started producing duplicate records in the database. The script logic hasn't changed. Duplicate entries correlate with days when the server load was high.,complex
VPN keeps asking for MFA code twice during login — first code accepted then immediately prompted again and second attempt always fails. Only happens on my account. GlobalProtect 6.1.2 on Windows 11. No account changes made,simple
Computer makes beep when USB plugged in but device not recognized.,simple
Taskbar disappeared.,simple
battery draining fast,simple
Application login works on desktop but fails on the same user's laptop with identical config.,complex
"High-res image files open instantly on old laptop, take 40 seconds on new one.",complex
User's Excel file opens as read-only even when no one else has it open,moderate
"A department-wide license activation for Adobe Acrobat failed silently. Some machines activated, others didn't. No error logs were generated. The activation server shows all seats as claimed.",complex
Wi-Fi keeps disconnecting every 20 minutes. Affects only this one laptop.,moderate
User needs their voicemail PIN reset,simple
Same mapped drive path works for IT staff but fails silently for regular users.,complex
Wi-Fi calling drops every time a microwave operates nearby.,moderate
A finance application prompts for a smart card login but the user's smart card reader isn't being detected on their new laptop,moderate
One user's sent emails are arriving in recipients' inboxes with a two-hour delay.,complex
User's email autocomplete keeps suggesting wrong address for a common contact.,simple
User enrolled in MFA twice. Now gets two push notifications per login.,moderate
"After a recent Active Directory password policy change, users in one branch office are being locked out after one failed attempt instead of the configured five.",complex
Seven users on the third floor marketing segment losing access to cloud SaaS apps every afternoon — local intranet resources stay up. Started Monday after BGP policy was adjusted on edge router. Rollback not yet approved by change board,moderate
Task manager shows 0% CPU and 0% GPU but machine feels sluggish.,complex
User's calendar shows meetings in wrong timezone despite timezone set correctly on all devices.,complex
File copy to network share stops at exactly 2GB every time.,complex
"Two applications share a database. After a schema change, one application runs fine but the other throws column not found errors for a column that exists and is populated.",complex
User changed their password but is still being prompted for the old one on their mobile device,simple
User insists their sent folder is empty but recipients received the emails.,complex
logs showing no error but functionality breaking unclear root cause,complex
One specific column in shared spreadsheet shows formula instead of value for one user.,complex
Newly installed application is missing from the Start menu but is visible in the list of installed programs,simple
User's quick access shortcuts in File Explorer disappeared,simple
"After restoring a VM from snapshot, the application it hosts authenticates users correctly but session data resets every 10 minutes. The session timeout is configured for 8 hours.",complex
"OSPF virtual link between area 5 and backbone not establishing on RTR-AREA5-01 — logs show ""dead timer expired"" for virtual link neighbor 10.200.200.1. Transit area 2 OSPF is stable. Checked virtual link config — transit area and neighbor ID confirmed correct on both ends",moderate
"User reports receiving duplicate emails, same sender, same timestamp, two copies.",complex
system not shutting down,simple
User locked out after entering correct password. Lockout threshold set to 10.,complex
NTP stratum mismatch causing Kerberos ticket failures on four application servers — clock skew at 6 minutes. Primary NTP 10.0.0.10 unreachable from app VLAN due to ACL added Thursday. Secondary NTP not configured on those servers,moderate
Internal video streaming platform buffers constantly for remote workers but plays fine on-site,moderate
App installed fine but icon won't appear on desktop.,simple
DNS conditional forwarder for partner.external-corp.com returning NXDOMAIN for five users — forwarder configured on DNS-PRIMARY to forward to 203.0.113.10. Manually querying 203.0.113.10 returns correct answer. Suspect firewall blocking DNS-PRIMARY outbound UDP 53 to that specific IP,moderate
login works on one device not on another,moderate
Wireless mouse disconnects when laptop screen brightness is above 70%.,complex
SSL certificate expired on the internal ticketing system. Users are seeing browser warnings.,moderate
"User can't log in. Password reset didn't help, SSO also failing, and IT says AD looks fine.",complex
A scheduled task that sends automated reports via email is running but recipients aren't getting the emails. No errors in the task scheduler logs.,complex
Microphone picks up audio but voice recognition software only activates intermittently.,complex
file rename not working,simple
A user's remote session reconnects fine after a network drop but all clipboard content stops syncing for the rest of that session. Starting a new session restores clipboard functionality.,moderate
Intermittent WiFi drops on my iPhone in the cafeteria — disconnects for about 30 seconds then reconnects on its own. Hasn't been troubleshot at all. Just me affected. Can someone check AP-CAF-02 signal strength?,simple
Proxy configuration disappeared from Chrome after a forced browser update overnight. Cannot reach internet now. P1 for my workflow. Just need someone to push the correct proxy address and port back to my machine,simple
QoS markings on my softphone traffic appear to be getting dropped or re-marked somewhere between my desk and PBX. Voice quality is fine for everyone else. IT said it is low priority but calls are unusable,simple
User's out-of-office reply fires for internal emails but not external.,moderate
"After a billing system update, invoices are generating with correct line items but the total field shows zero for any invoice containing a discount code.",complex
User cannot locate the network drive they need. It was always there before.,simple
Screenshot shortcut saves file but also opens paint.,simple
PC connected to ethernet but still using Wi-Fi for traffic.,moderate
DHCP pool exhaustion suspected on VLAN 40 — scope shows 4 leases remaining out of 254. Eight users unable to get addresses this morning. Extended lease time as temporary fix but addresses not being released correctly. Investigating rogue DHCP clients,moderate
Teams calls drop exactly at 30-minute mark for one specific user.,complex
Bandwidth from my desk limited to roughly 10 Mbps down — speedtest and iperf3 both confirm. Gigabit everywhere else on this floor. No cable changes made. Please check autoneg settings on SW-SALES-03 port Gi0/22,simple
User gets password expiry warning daily despite having changed password yesterday.,complex
"Dropdown menu in one web app is cut off, can't select lower options.",simple
"After enabling BitLocker on a fleet of laptops, five specific machines fail to boot and show a recovery key prompt every time, while the rest start normally",complex
USB hub works with all devices except this one mouse.,moderate
Docking station works for everyone else but causes this laptop to freeze on connect.,complex
Network printer works for black and white but color jobs disappear from queue silently.,complex
System tray icons disappear after every restart on a single machine,simple
"Same Excel macro runs fine on my PC, crashes on colleague's identical setup.",complex
Laptop keyboard works but spacebar needs to be pressed hard.,simple
Corporate antivirus is flagging a legitimate internal tool as malware after a definition update,moderate
A database migration script ran successfully but post-migration reports show totals that differ from pre-migration snapshots by small inconsistent amounts,complex
browser freezing randomly no clear steps,moderate
Random BSODs on a 3-month-old machine. No consistent error code. Happens during video calls.,complex
keyboard not typing,simple
"After deploying an updated SSL certificate to a load balancer, mobile app users started getting connection errors. Browser-based users on the same endpoints are unaffected. The cert chain is complete.",complex
User can't find the Recycle Bin on their desktop,simple
"After a cloud migration, legacy desktop shortcuts to internal tools no longer work. Updating the URLs fixed it for some users but not others, even after cache clearing and profile resets.",complex
"After migrating a SharePoint site to a new URL, links embedded in old emails now redirect to an access denied page for external users. Internal users are redirected correctly.",complex
User's number pad isn't working even though Num Lock is on,simple
Quick access toolbar missing from all Office apps after profile migration.,simple
User needs the time zone on their laptop changed to GMT,simple
User moved to a hot desk and needs their mapped printers updated,simple
Printer offline on 2nd floor.,simple
Spacebar inserts two spaces instead of one.,simple
Ctrl+Z undoes too many steps at once in one app only.,moderate
Two users in the same team get different search results for the same query in the internal knowledge base. Both have identical roles and permissions.,complex
User can't hear audio during Teams calls but others can hear them fine,simple
User's files visible in recycle bin but restore option is greyed out.,moderate
DHCP lease renewal failing for my desktop every 8 hours — machine gets address initially at boot but renewal requests time out. Static assignment as workaround but not ideal. No scope changes that I know of,simple
network drops only during calls,moderate
User needs their display resolution changed to 1920x1080,simple
"Same internal tool loads in 1 second for most staff, takes 40 seconds for the finance team only.",complex
"Switch port Gi1/0/6 on SW-MKTG-01 showing ""suspended"" state — connected device is a Ubiquiti UniFi AP-AC-Pro. Port was working last week. Nobody touched the cabling. Possibly BPDU guard triggered. Please investigate and restore",simple
Keyboard types wrong characters. US layout selected but keys don't match.,moderate
Screen sharing in Zoom works but only shows a black screen to other participants on one user's machine,moderate
"Shared calendar editable for all team members except one, even after permissions re-applied.",complex
Keyboard backlight stopped working after a driver update,simple
keyboard typing double letters,simple
Teams presence status visible to everyone else but shows as unknown to one specific colleague.,complex
Some users are seeing a different version of the company homepage than others. Cache clearing doesn't fix it. CDN config hasn't changed.,moderate
