text,complexity,domain
SD-WAN edge EDGE-RETAIL-03 not applying data-center-bound traffic policy — all traffic defaulting to local breakout. Policy pushed from vManage showing "in sync" status on device. Rollback and re-push attempted once. Three point-of-sale systems affected at that location,moderate,NETWORKING
Spanning tree port Gi0/9 on SW-CORP-05 oscillating between forwarding and blocking every 90 seconds — logs show repeated topology change notifications. PortFast enabled on that port already. BPDU guard not triggering. Connected device is a managed KVM switch — may be sourcing BPDUs,moderate,NETWORKING
PPPoE subscriber on CPE-HOME-OFFICE-22 getting disconnected during peak hours only — 1700-1900 daily. Re-authentication succeeds but IP changes each time breaking VPN tunnels. RADIUS lease timeout not matching PPPoE session keepalive. Affects this one business user significantly. P1 for them,moderate,NETWORKING
Proxy bypass list missing our internal wiki at wiki.corp-internal.net for seven users — requests going to proxy instead of direct causing authentication loop. PAC file edit submitted yesterday but change not yet deployed to production PAC URL by web team,moderate,NETWORKING
NAT64 translation on border router BR-IPV6-01 failing for three servers that migrated to IPv6-only — DNS64 synthesizing AAAA records correctly but translated packets not reaching IPv4 destinations. Checked NAT64 prefix config — appears correct. Wireshark capture on BR-IPV6-01 uplink shows translated packets arriving but no response,moderate,NETWORKING
QoS DSCP remarking happening incorrectly on SW-DIST-05 ingress — traffic from surveillance VLAN 90 marked CS1 instead of AF41 causing camera feeds to buffer. Policy-map applied to correct interface. Checked class-map match conditions — video traffic classifier may not matching camera source addresses correctly,moderate,NETWORKING
Internet connectivity lost for 14,000 users at 08:17 UTC when both BGP peers on EDGE-RTR-01 went idle simultaneously — automation pipeline pushed an empty prefix-list at 08:14, withdrawing all permitted inbound routes. Rollback script executed twice but failed — prefix-list commit erroring due to syntax in route-map referencing deleted object,complex,NETWORKING
Production Cisco Catalyst 9600 core switch crashed with "EARL ASIC uncorrectable error" at 11:03 — 6,200 users lost network access. Redundant supervisor failed to take over within expected 30-second window. Console shows SUP-2 in ROM monitor mode. Tried reload on standby supervisor — process hung. Vendor TAC engaged,complex,NETWORKING
All 94 IPSec spoke tunnels terminated on Fortinet FortiGate 3400E failed after root CA certificate renewal at 0300 — IKEv2 negotiation returning "AUTHENTICATION_FAILED: no certificate" on every spoke. Phase 1 IKE_SA_INIT succeeds. New CA bundle pushed to FortiGate via FortiManager. Manually imported cert on three spokes — same failure. Intermediate CA missing from chain,complex,NETWORKING
firewall going absolutely insane right now — FW-PROD-02 is passing traffic it should block and blocking traffic it should pass after a signature update at 0600. ecommerce site throwing 5xx errors, finance VLANs intermittently isolated. 7,200 users affected. We tried rolling back the signature package, update process hung at 60 percent,complex,NETWORKING
Spanning tree reconvergence event on VLAN 1-50 caused 8-minute outage for 1,400 users — unauthorized switch connected in a loop by facilities team during desk installation. BPDU guard was not enabled on access ports in that wing. Root bridge shifted three times. Loop physically removed but two switches still showing inconsistent STP port roles,complex,NETWORKING
OSPF database exchange on area 0 backbone generating 600,000 LSAs per router after redistribution of a /8 summarized route was accidentally removed — 28,000 host routes now flooding the backbone. Four core routers hitting max-lsa limit and going into ignore state. 3,900 users losing routing. Attempted to re-add summary — router rejecting config due to existing route conflict,complex,NETWORKING
BGP confederation peer sessions between AS65100 member ASes failing after IOS-XE upgrade from 17.9 to 17.12 — inter-confederation EBGP sessions showing "incorrect AS number in OPEN message." Checked bgp confederation peers and identifier — configured identically to pre-upgrade. Opened Cisco TAC case, no resolution after 6 hours. 5,800 users affected,complex,NETWORKING
DNS infrastructure overwhelmed by cache poisoning attack exploiting CVE-2008-1447 — attackers injecting malicious records into resolver DNS-R02 and DNS-R03. DNSSEC not deployed. Users being redirected to phishing IPs. 4,600 internal clients affected. Flushed resolver caches twice — records re-poisoned within minutes. Implemented source port randomization but attack ongoing,complex,NETWORKING
MPLS traffic engineering tunnels torn down across entire backbone after RSVP-TE signaling failed — link-state database corrupted on P-RTR-02 causing TE topology table inconsistency. 9,100 users losing QoS guarantees and preferred paths. Cleared RSVP process on P-RTR-02 — adjacencies reformed but TE LSPs re-signaling only partially. 34 of 120 tunnels still down,complex,NETWORKING
Load balancing across our three data centers collapsed after GTM health monitor started falsely marking DC-PRIMARY pool down — all 8,800 global users redirected to DC-SECONDARY which is undersized for full load. Primary applications confirmed healthy via direct access. Increased GTM monitor timeout from 3 to 30 seconds — monitors still failing. ISP DNS latency suspected,complex,NETWORKING
VPN infrastructure overloaded after all 3,200 remote users forced to full-tunnel mode by an accidental group policy change — concentrator CPU at 97 percent, throughput saturated. Rolled back group policy in ASDM — clients not receiving updated policy without manual reconnect. Mass disconnect-reconnect cycle causing concentrator session table to fill and reject new connections,complex,NETWORKING
ACL misconfiguration deployed across 52 core and distribution routers last night blocked all traffic between 10.0.0.0/8 and 172.16.0.0/12 — 7,100 users unable to reach cross-segment resources since 0200. Correction script executed on 40 routers successfully. Twelve routers lost management plane access after ACL applied requiring out-of-band console remediation,complex,NETWORKING
VLAN 300 and VLAN 350 merged accidentally in the VLAN database after a Cisco DNA Center automation job ran with incorrect parameters — hosts on both VLANs now sharing a broadcast domain and experiencing ARP conflicts. 2,300 users affected. Attempted to re-separate VLANs via CLI — DNA Center re-pushing incorrect config every 4 minutes,complex,NETWORKING
SD-WAN control plane certificates expired simultaneously on vManage cluster and all 118 edge devices — certificate auto-renewal job failed silently 90 days ago. Edges in offline mode with no policy updates. Manually renewed vManage cert. Edges still rejecting connection — certificate trust store on edges references old CA that is no longer valid,complex,NETWORKING
PPPoE BNG-WEST cluster lost half its line cards during a chassis firmware upgrade at 2200 — 4,100 subscribers dropped simultaneously. Line cards came back online but subscriber session tables cleared. Re-authentication succeeding per RADIUS logs but address assignment failing — IPAM integration returning empty responses. IPAM service restarted, issue persisting,complex,NETWORKING
NTP timing chain collapsed at 0130 when GPS-PRIMARY failed and GPS-SECONDARY was unreachable due to ACL change blocking UDP 123 from stratum 2 servers — 18 stratum 2 servers orphaned. PTP grandmaster clocks drifted 14 seconds in 2 hours. Financial applications and 5G RAN timing sources affected — 6,300 users and downstream infrastructure impacted,complex,NETWORKING
Routing table corruption on RTR-CORE-03 after ISSU upgrade attempt failed midway — RIB showing duplicate entries for 847 prefixes with conflicting next-hops causing random packet forwarding failures. 2,800 flows affected intermittently. Tried clearing ip route — duplicates repopulated from corrupted RIB database. Full router reload required but would cause 15-minute outage to 4,100 users,complex,NETWORKING
ARP table overflow on Arista 7050CX3-32S leaf switch — hardware ARP table capacity of 16,384 entries exceeded after microsegmentation rollout added 9,000 new host entries. New VM deployments in 10.200.0.0/20 completely unreachable. Attempted mac-address aging reduction to 60 seconds — table refilled within 3 minutes. Architectural redesign needed for scale,complex,NETWORKING
CDP completely non-functional across 145 switches after upgrading Cisco Prime Infrastructure to version 3.10.4 — Prime showing zero CDP neighbors despite confirming cdp run and per-interface cdp enable on all devices via direct CLI. Rolled back Prime to 3.9.1 on Sunday — CDP topology still not populating. Direct CLI verification confirms CDP adjacencies active everywhere,complex,NETWORKING
