text,complexity,domain
SD-WAN orchestrator lost connectivity to all 94 edge devices at 06:00 UTC after VM host migration — edges fell back to local policy mode, traffic engineering disabled. Restarted orchestrator, edges not reconnecting — TLS handshake failing with "certificate unknown" error. Control plane fully dark across entire fabric,complex,NETWORKING
Load balancer F5 pair lost HA sync 3 hours ago — both nodes went active simultaneously causing asymmetric routing. TCP sessions being dropped randomly. 2,800 users hitting e-commerce platform seeing cart errors and session resets. Tried forcing standby on BIGIP-02 via tmsh, command completing but unit stays active,complex,NETWORKING
Spanning tree reconvergence on VLAN 1-100 caused 6-minute outage on entire campus — 900 users affected. Root bridge election happened unexpectedly after SW-ACCESS-NEW-01 was added without PortFast config. RSTP should converge in seconds but did not. Investigating why rapid transition failed to occur on uplink ports,complex,NETWORKING
QoS policy deployed via Ansible to 75 WAN routers at 0300 is misclassifying all DSCP EF traffic as best-effort — voice and video completely broken company-wide. Playbook rollback ran but show policy-map still reflects wrong markings on 60 devices. Manual correction done on 10 routers with inconsistent results so far,complex,NETWORKING
ARP spoofing attack active on VLAN 300 — rogue host at 10.30.0.99 sending gratuitous ARPs claiming MAC of gateway 10.30.0.1. DAI supposed to block this but inspection logs show packets passing. 750 workstations potentially having traffic intercepted right now. Checked DAI DHCP snooping binding table — entries missing for VLAN 300,complex,NETWORKING
okay so basically the whole building lost internet about 40 minutes ago. BGP is fine internally but nobody can reach anything external. Our upstream ISP is AS7922. We've tried resetting the edge router twice. 3,800 users completely offline. ISP NOC not picking up the phone,complex,NETWORKING
NTP primary server GPS-NTP-01 hardware failure caused stratum 2 servers to orphan — all downstream clients drifting. After 5 hours, Kerberos auth failing across entire AD domain due to clock skew exceeding 5 minutes. 3,100 users locked out. Pointed stratum 2 to pool.ntp.org but propagation incomplete after 2 hours,complex,NETWORKING
Cisco Nexus 9508 at spine layer throwing "FIB TCAM resource exhausted" — overflow routes punted to CPU, latency spiked to 220ms on affected prefixes. New /32 host routes from microsegmentation policy added 18,000 entries beyond TCAM limit. Tried route summarization on leaf switches but spine still showing exhaustion,complex,NETWORKING
ACL misconfiguration pushed to distribution routers DIST-RTR-01 and DIST-RTR-02 blocking 10.0.0.0/8 to 172.16.0.0/12 inter-VLAN routing — finance and operations segments isolated from each other. 1,400 users cannot reach cross-segment resources. Attempted ACL removal via SSH but one router lost management access after applying fix,complex,NETWORKING
PPPoE concentration breakdown across three central office BNGs — 2,100 subscriber sessions dropped simultaneously. RADIUS reachable and authenticating fine. LCP termination requests flooding BNG logs at 4,000 per minute. Restarted PPPoE process on BNG-CO-01, caused subscriber count to drop further. Provider hardware fault suspected on DSLAMs,complex,NETWORKING
CDP neighbor table on all switches in building C cleared unexpectedly after IOS upgrade from 15.2 to 16.9 — cdp run showing enabled, interfaces up, but zero neighbors populating anywhere. 85 switches affected. LLDP also returning no neighbors. Checked cdp enable per interface — configured correctly. Upgrade rollback being evaluated now,complex,NETWORKING
