text,complexity,domain
BGP route leak from customer VRF CUST-LOGISTICS into default VRF on PE-RTR-11 flooding 14,000 prefixes into backbone — loops forming between PE-RTR-11 and PE-RTR-12. Two additional customers on PE-RTR-11 experiencing collateral packet loss. Cleared BGP session on PE-RTR-11 four times — leak resumes within 60 seconds. RT import policy visually correct but leak persists,complex,NETWORKING
DNS cache poisoning confirmed on resolvers DNS-CACHE-01 and DNS-CACHE-02 — attacker injecting records redirecting users to 185.220.101.47 for banking domains. 5,900 clients at risk. Cache flushed three times — records re-injected within minutes. DNSSEC validation not enabled. Response Rate Limiting applied — legitimate queries also being dropped at 40 percent rate,complex,NETWORKING
MPLS TE path computation completely broken after PCE server PCE-MAIN-01 crashed during disk failure — all 340 RSVP-TE tunnels fell back to CSPF locally but 180 tunnels failed to re-signal due to topology database inconsistency. 7,800 users losing preferred QoS paths. Restarted PCE-MAIN-01 — PCE-PCECC adjacencies reformed but tunnel re-optimization not occurring automatically,complex,NETWORKING
Global load balancing failed catastrophically when Akamai GTM health checks lost connectivity to our two primary DCs simultaneously — 9,400 users globally redirected to disaster-recovery site running on 20 percent capacity. Primary DCs healthy per all internal monitoring. Akamai monitoring IPs blocked by new perimeter ACL pushed Wednesday. ACL correction deployed but GTM recovery taking 25 minutes,complex,NETWORKING
VPN concentrator ASA5555-X crashed under authentication load at 0730 — 4,200 remote users disconnected as concentrator entered failover. Standby unit took 18 minutes to stabilize due to license mismatch preventing state sync. Forced failover manually via CLI. Standby now active but rejecting new connections with "max-sessions exceeded" — license audit urgent,complex,NETWORKING
ACL deployed via Ansible Tower job TOWER-JOB-8821 to 60 switches last night inserted deny ip any any at position 1 instead of end — 8,300 users lost all inter-VLAN routing at 0200. Fix deployed to 52 switches via script. Eight switches unreachable via SSH after lockout requiring physical console access from facilities overnight,complex,NETWORKING
VLAN database on entire campus corrupted after rogue VTP server with domain name mismatch propagated revision 9,999 through trunk ports — 280 VLANs deleted from 95 switches simultaneously. 6,100 users lost access. Rebuilt VLAN database on core switches. VTP pruning re-enabling VLANs incrementally but 40 access switches still showing no VLANs in database after 90 minutes,complex,NETWORKING
SD-WAN certificate infrastructure completely expired — root CA on vManage and all 131 edge device certificates expired simultaneously because auto-renewal job was disabled during a maintenance window 90 days ago and never re-enabled. Control plane dark on entire fabric. Manually renewed vManage cert. Edges rejecting connection — trust store on each edge requires manual update with no remote access mechanism,complex,NETWORKING
PPPoE BNG-NORTH-01 kernel panic at 22:40 caused by subscriber management memory leak in firmware 19.3R2 — 3,800 subscribers disconnected. Failover to BNG-NORTH-02 triggered but subscriber table synchronization was 4 hours stale — 1,200 sessions recreated with wrong IP assignments. IPAM showing conflicts. BNG-NORTH-01 reloaded but coming back into service slowly to avoid repeat crash,complex,NETWORKING
NTP authentication broken across entire enterprise after MD5 key rotation — 340 routers and switches refusing time sync because new key ID 15 was pushed to NTP servers before being configured on clients. 6,000 network devices drifting. Clock skew causing BGP session instability on time-sensitive peers. Rolling out key to clients via RANCID but 80 devices not responding to automated push,complex,NETWORKING
Routing black hole formed on RTR-TRANSIT-02 after static route for 0.0.0.0/0 was redistributed into BGP with incorrect next-hop 10.255.255.254 — unreachable host. 5,500 users experiencing complete internet loss. Removed redistribution — default route still present in BGP table on downstream routers from prior advertisement. BGP route not withdrawing correctly. Investigating route reflector propagation delay,complex,NETWORKING
ARP table capacity exhausted on HPE Aruba 8400 core switch — hardware TCAM limit of 24,576 ARP entries reached after cloud migration added 11,000 new VM endpoints. New workloads in 10.170.0.0/16 unreachable. Reduced ARP aging timer from 1200 to 120 seconds — table refilling to capacity in under 5 minutes. Proxy-ARP and subnet segmentation changes now required at architecture level,complex,NETWORKING
CDP and LLDP topology discovery broken on 160 switches across campus after Cisco Catalyst Center upgrade to 2.3.7.5 — GUI shows zero neighbors network-wide. CLI on every switch confirms cdp and lldp adjacencies active. Opened Cisco TAC case — bug CSCwd12345 confirmed affecting that version. Downgrade path to 2.3.5.3 requires full cluster wipe and rebuild estimated at 6 hours downtime,complex,NETWORKING
