text,complexity,domain
DHCP scope for VLAN 60 nearly exhausted — 6 leases remain from 200 available. Eight users unable to get addresses this morning. Reduced lease time from 8 days to 4 hours as stopgap but addresses releasing slowly,moderate,NETWORKING
DNS resolution failing from VLAN 80 guest segment for all six affected users — internal names resolve, external domains SERVFAIL. Forwarders reachable from DNS server itself. Suspect firewall rule blocking UDP 53 from guest VLAN to resolver,moderate,NETWORKING
Load balancer VIP 10.2.3.50 serving the HR portal returning 503 for roughly 25 percent of requests. All three backend nodes showing healthy in pool. Persistence profile is source-IP. Logs show connections resetting after 30-second timeout,moderate,NETWORKING
IPSec tunnel SITE-CHICAGO to HQ flapping — Phase 1 up but Phase 2 renegotiates every hour with "no proposal chosen" error. Pre-shared keys confirmed matching both sides. Checked crypto ACLs — traffic selectors appear identical. Escalating,moderate,NETWORKING
VPN split-tunnel policy update last Monday broke access to on-prem lab 10.100.0.0/16 for five engineers. Group policy looks correct in ASDM. Re-pushed profile to three clients manually — no improvement. Others on same policy unaffected,moderate,NETWORKING
Proxy auto-config failing for four users after PAC file moved to new URL last week. Manual proxy entry works as workaround. WPAD DNS record confirmed resolving correctly. GPO not yet propagated despite running gpupdate /force twice,moderate,NETWORKING
Spanning tree TCN notifications flooding syslog on VLAN 150 every 6 minutes — counter incrementing rapidly on SW-DIST-01. Identified three access ports without PortFast enabled. Enabled PortFast on two of them — TCNs reduced but not eliminated,moderate,NETWORKING
SD-WAN policy on EDGE-BR-04 routing video traffic over MPLS instead of preferred DIA link. Application-aware routing policy in orchestrator looks correct for this site. Five meeting rooms affected. Edge rebooted — issue persisted after reconnection,moderate,NETWORKING
Packet loss of 9 percent on uplink between SW-ACC-11 and SW-DIST-03 during 0800-1000 window only. Off-peak loss is zero. Interface utilization at 55 percent during drops. Duplex verified full on both sides. CRC errors climbing,moderate,NETWORKING
MPLS circuit HQ-to-BRANCH-DENVER latency spiked from 8ms to 95ms beginning Saturday. Provider SLA ticket opened Sunday. PE-WEST-02 showing no interface errors or drops. QoS policy unchanged for 90 days. Provider investigation ongoing with no resolution yet,moderate,NETWORKING
PPPoE sessions for eight customers on BRAS-02 dropping nightly between 0100 and 0130. Auto-reconnect works within 3 minutes. RADIUS logs show clean authentication. LCP termination requests originating from CPE side. Suspect ISP-scheduled job triggering disconnects,moderate,NETWORKING
NTP stratum mismatch causing Kerberos ticket failures on four application servers — clock skew at 6 minutes. Primary NTP 10.0.0.10 unreachable from app VLAN due to ACL added Thursday. Secondary NTP not configured on those servers,moderate,NETWORKING
entire internet down for over 5000 users right now — started at 14:33. BGP sessions to all three upstream ISPs went idle simultaneously. Cleared sessions on EDGE-RTR-01, peers not re-establishing. Automation script ran at 14:29, likely pushed bad prefix-list. Need senior help NOW,complex,NETWORKING
Core switch CORE-SW-02 Nexus 9336C-FX2 reporting TCAM exhaustion — "FIB TCAM resource limit reached" in logs. Microsegmentation policy added 22,000 host routes beyond hardware capacity. Overflow to CPU causing 180ms latency on affected prefixes. 1,800 servers impacted across production fabric,complex,NETWORKING
IPSec certificate rotation at 0200 UTC broke IKEv2 authentication on all 58 branch VPN tunnels — error "IKE_AUTH failed: AUTHENTICATION_FAILED" on every site. Phase 1 completes, Phase 2 fails universally. Manually rolled back cert on four branches — same error. PKI trust chain broken somewhere,complex,NETWORKING
Firewall cluster FW-HA-PAIR-01 lost state synchronization at 11:47 — both nodes simultaneously entered active state, causing asymmetric routing for all 3,400 sessions. Failover triggered but standby took 9 minutes to stabilize. Forced standby via CLI on FW-02, unit acknowledged command but remained active for 4 minutes,complex,NETWORKING
okay so basically spanning tree just went nuts on VLAN 1 through 100 and took down like 900 users for 7 minutes. New switch added to stack without PortFast and somehow became root bridge. RSTP reconvergence took way longer than it should have. Investigating why rapid transition failed on uplinks,complex,NETWORKING
BGP route leak from customer VRF CUST-RETAIL into global table on PE-RTR-06 — 11,000 prefixes leaked, causing routing loops on backbone. Three other customers on same PE also experiencing packet loss. Cleared BGP session, leak persisted. Import route-target policy looks correct but leak continues after two clear attempts,complex,NETWORKING
DNS amplification attack hitting recursive resolvers at 900 Mbps — ISP threatening to null-route our /23. Applied recursion ACL limiting to internal clients, but legitimate resolution also degraded. 4,800 internal users affected. RPZ rules deployed — attack traffic still saturating both uplink interfaces completely,complex,NETWORKING
SD-WAN orchestrator migrated to new VM host at 0500 — all 87 edge devices lost control plane connectivity immediately after. Edges in local-policy mode with traffic engineering disabled. Orchestrator reachable via ping. TLS handshake failing on all edges with "certificate unknown" error. Control plane completely dark across fabric,complex,NETWORKING
MPLS LDP sessions dropped on PE-01 through PE-05 after NVRAM write failure during power flap — label forwarding tables cleared on all five PEs. 14 enterprise customer VPNs completely offline. 5,800 end users affected. Reloaded PE-01, LDP adjacencies came back but VRF route-targets not re-importing correctly into RIB,complex,NETWORKING
ARP spoofing attack confirmed on VLAN 400 — host at 10.40.0.77 claiming MAC address of gateway 10.40.0.1 via gratuitous ARPs. DAI configured but not blocking — DHCP snooping binding table missing entries for VLAN 400. 680 workstations potentially intercepted. Security team engaged but network-layer containment still failing,complex,NETWORKING
QoS Ansible playbook deployed to 80 WAN edge routers at 0300 — DSCP EF traffic now classified as best-effort on all devices. Voice and video broken company-wide. Rollback playbook ran successfully per Ansible output but show policy-map still shows incorrect classification on 65 routers. Manual fix on 8 routers inconsistent,complex,NETWORKING
Load balancer pair F5 BIGIP-01 and BIGIP-02 lost HA sync 2 hours ago — both went active, causing duplicate SYN-ACK responses and dropped sessions. 2,200 users on e-commerce platform seeing checkout failures. Tried forcing standby on BIGIP-02 via tmsh command — acknowledged but node stayed active for 6 more minutes,complex,NETWORKING
VLAN 200 down across production data center — 2,900 application servers unreachable. Core switch CORE-SW-01 shows VLAN 200 active in VLAN database but forwarding table entries missing. Ran clear mac address-table dynamic vlan 200 — no change. STP topology appears stable. No recent config changes logged in TACACS,complex,NETWORKING
CDP and LLDP neighbor discovery completely broken across all 92 switches in campus after IOS-XE upgrade from 16.9 to 17.6 — cdp run shows enabled, interfaces up, zero neighbors anywhere. Ran no cdp enable then cdp enable on 10 switches manually, no neighbors returned. Rollback to 16.9 being evaluated now,complex,NETWORKING
PPPoE concentration breakdown on three BNGs simultaneously — 1,900 subscriber sessions dropped at 22:15. RADIUS authenticating normally. LCP termination floods at 3,500 per minute in BNG-CO-02 logs. Restarted PPPoE process on BNG-CO-01 — subscriber count dropped further instead of recovering. DSLAM hardware fault suspected by provider,complex,NETWORKING
OSPF area 0 route table showing 18 prefixes flapping every 45 seconds on backbone routers since 1600 UTC. MTU verified matching all links. Hello/dead timers confirmed correct. BFD sessions stable. BGP redistribution into OSPF suspected culprit but filtering policy unchanged for 30 days. 2,100 users experiencing intermittent drops,complex,NETWORKING
so our whole MPLS network is just gone basically — someone ran a bad ACL commit at midnight and now the PE routers can't talk to each other. We've been troubleshooting for 4 hours. 6,400 users across 11 sites completely offline. Rolled back ACL, still broken. LDP sessions won't re-establish on PE-02 and PE-04,complex,NETWORKING
NTP GPS appliance GPS-STRATUM1-01 failed at 0310 — downstream stratum 2 servers orphaned and drifting. After 4 hours, Kerberos authentication failing across entire domain — clock skew exceeded 5 minutes. 3,300 users cannot authenticate. Pointed stratum 2 servers to pool.ntp.org at 0720 but client propagation still incomplete two hours later,complex,NETWORKING
